,name,args
88,counter_start,"[('const struct device *', 'dev')]"
89,counter_stop,"[('const struct device *', 'dev')]"
90,counter_ticks_to_us,"[('const struct device *', 'dev'), ('uint32_t', 'ticks')]"
91,counter_us_to_ticks,"[('const struct device *', 'dev'), ('uint64_t', 'us')]"
92,dac_channel_setup,"[('const struct device *', 'dev'), ('const struct dac_channel_cfg *', 'channel_cfg')]"
93,dac_write_value,"[('const struct device *', 'dev'), ('uint8_t', 'channel'), ('uint32_t', 'value')]"
94,device_get_binding,"[('const char *', 'name')]"
95,device_is_ready,"[('const struct device *', 'dev')]"
96,devmux_select_get,"[('const struct device *', 'dev')]"
97,devmux_select_set,"[('struct device *', 'dev'), ('size_t', 'index')]"
98,dma_chan_filter,"[('const struct device *', 'dev'), ('int', 'channel'), ('void *', 'filter_param')]"
99,dma_release_channel,"[('const struct device *', 'dev'), ('uint32_t', 'channel')]"
100,dma_request_channel,"[('const struct device *', 'dev'), ('void *', 'filter_param')]"
101,dma_resume,"[('const struct device *', 'dev'), ('uint32_t', 'channel')]"
102,dma_start,"[('const struct device *', 'dev'), ('uint32_t', 'channel')]"
103,dma_stop,"[('const struct device *', 'dev'), ('uint32_t', 'channel')]"
104,dma_suspend,"[('const struct device *', 'dev'), ('uint32_t', 'channel')]"
105,eeprom_get_size,"[('const struct device *', 'dev')]"
106,eeprom_read,"[('const struct device *', 'dev'), ('off_t', 'offset'), ('void *', 'data'), ('size_t', 'len')]"
107,eeprom_write,"[('const struct device *', 'dev'), ('off_t', 'offset'), ('const void *', 'data'), ('size_t', 'len')]"
108,emul_fuel_gauge_is_battery_cutoff,"[('const struct emul *', 'target'), ('bool *', 'cutoff')]"
109,emul_fuel_gauge_set_battery_charging,"[('const struct emul *', 'target'), ('uint32_t', 'uV'), ('int', 'uA')]"
110,entropy_get_entropy,"[('const struct device *', 'dev'), ('uint8_t *', 'buffer'), ('uint16_t', 'length')]"
111,espi_config,"[('const struct device *', 'dev'), ('struct espi_cfg *', 'cfg')]"
112,espi_flash_erase,"[('const struct device *', 'dev'), ('struct espi_flash_packet *', 'pckt')]"
113,espi_get_channel_status,"[('const struct device *', 'dev'), ('enum espi_channel', 'ch')]"
114,espi_read_flash,"[('const struct device *', 'dev'), ('struct espi_flash_packet *', 'pckt')]"
115,espi_read_lpc_request,"[('const struct device *', 'dev'), ('enum lpc_peripheral_opcode', 'op'), ('uint32_t *', 'data')]"
116,espi_read_request,"[('const struct device *', 'dev'), ('struct espi_request_packet *', 'req')]"
117,espi_receive_oob,"[('const struct device *', 'dev'), ('struct espi_oob_packet *', 'pckt')]"
118,espi_receive_vwire,"[('const struct device *', 'dev'), ('enum espi_vwire_signal', 'signal'), ('uint8_t *', 'level')]"
119,espi_saf_activate,"[('const struct device *', 'dev')]"
120,espi_saf_config,"[('const struct device *', 'dev'), ('const struct espi_saf_cfg *', 'cfg')]"
121,espi_saf_flash_erase,"[('const struct device *', 'dev'), ('struct espi_saf_packet *', 'pckt')]"
122,espi_saf_flash_read,"[('const struct device *', 'dev'), ('struct espi_saf_packet *', 'pckt')]"
123,espi_saf_flash_unsuccess,"[('const struct device *', 'dev'), ('struct espi_saf_packet *', 'pckt')]"
124,espi_saf_flash_write,"[('const struct device *', 'dev'), ('struct espi_saf_packet *', 'pckt')]"
125,espi_saf_get_channel_status,"[('const struct device *', 'dev')]"
126,espi_saf_set_protection_regions,"[('const struct device *', 'dev'), ('const struct espi_saf_protection *', 'pr')]"
127,espi_send_oob,"[('const struct device *', 'dev'), ('struct espi_oob_packet *', 'pckt')]"
128,espi_send_vwire,"[('const struct device *', 'dev'), ('enum espi_vwire_signal', 'signal'), ('uint8_t', 'level')]"
129,espi_write_flash,"[('const struct device *', 'dev'), ('struct espi_flash_packet *', 'pckt')]"
130,espi_write_lpc_request,"[('const struct device *', 'dev'), ('enum lpc_peripheral_opcode', 'op'), ('uint32_t *', 'data')]"
131,espi_write_request,"[('const struct device *', 'dev'), ('struct espi_request_packet *', 'req')]"
132,flash_erase,"[('const struct device *', 'dev'), ('off_t', 'offset'), ('size_t', 'size')]"
133,flash_ex_op,"[('const struct device *', 'dev'), ('uint16_t', 'code'), ('const uintptr_t', 'in'), ('void *', 'out')]"
134,flash_get_page_count,"[('const struct device *', 'dev')]"
135,flash_get_page_info_by_idx,"[('const struct device *', 'dev'), ('uint32_t', 'page_index'), ('struct flash_pages_info *', 'info')]"
136,flash_get_page_info_by_offs,"[('const struct device *', 'dev'), ('off_t', 'offset'), ('struct flash_pages_info *', 'info')]"
137,flash_get_parameters,"[('const struct device *', 'dev')]"
138,flash_get_write_block_size,"[('const struct device *', 'dev')]"
139,flash_read,"[('const struct device *', 'dev'), ('off_t', 'offset'), ('void *', 'data'), ('size_t', 'len')]"
140,flash_read_jedec_id,"[('const struct device *', 'dev'), ('uint8_t *', 'id')]"
141,flash_sfdp_read,"[('const struct device *', 'dev'), ('off_t', 'offset'), ('void *', 'data'), ('size_t', 'len')]"
142,flash_simulator_get_memory,"[('const struct device *', 'dev'), ('size_t *', 'mock_size')]"
143,flash_write,"[('const struct device *', 'dev'), ('off_t', 'offset'), ('const void *', 'data'), ('size_t', 'len')]"
144,fuel_gauge_battery_cutoff,"[('const struct device *', 'dev')]"
145,fuel_gauge_get_buffer_prop,"[('const struct device *', 'dev'), ('fuel_gauge_prop_t', 'prop_type'), ('void *', 'dst'), ('size_t', 'dst_len')]"
146,fuel_gauge_get_prop,"[('const struct device *', 'dev'), ('fuel_gauge_prop_t', 'prop'), ('union fuel_gauge_prop_val *', 'val')]"
147,fuel_gauge_get_props,"[('const struct device *', 'dev'), ('fuel_gauge_prop_t *', 'props'), ('union fuel_gauge_prop_val *', 'vals'), ('size_t', 'len')]"
148,fuel_gauge_set_prop,"[('const struct device *', 'dev'), ('fuel_gauge_prop_t', 'prop'), ('union fuel_gauge_prop_val', 'val')]"
149,fuel_gauge_set_props,"[('const struct device *', 'dev'), ('fuel_gauge_prop_t *', 'props'), ('union fuel_gauge_prop_val *', 'vals'), ('size_t', 'len')]"
150,gnss_get_enabled_systems,"[('const struct device *', 'dev'), ('gnss_systems_t *', 'systems')]"
151,gnss_get_fix_rate,"[('const struct device *', 'dev'), ('uint32_t *', 'fix_interval_ms')]"
152,gnss_get_navigation_mode,"[('const struct device *', 'dev'), ('enum gnss_navigation_mode *', 'mode')]"
153,gnss_get_periodic_config,"[('const struct device *', 'dev'), ('struct gnss_periodic_config *', 'config')]"
154,gnss_get_supported_systems,"[('const struct device *', 'dev'), ('gnss_systems_t *', 'systems')]"
155,gnss_set_enabled_systems,"[('const struct device *', 'dev'), ('gnss_systems_t', 'systems')]"
156,gnss_set_fix_rate,"[('const struct device *', 'dev'), ('uint32_t', 'fix_interval_ms')]"
157,gnss_set_navigation_mode,"[('const struct device *', 'dev'), ('enum gnss_navigation_mode', 'mode')]"
158,gnss_set_periodic_config,"[('const struct device *', 'dev'), ('const struct gnss_periodic_config *', 'config')]"
159,gpio_get_pending_int,"[('const struct device *', 'dev')]"
160,gpio_pin_configure,"[('const struct device *', 'port'), ('gpio_pin_t', 'pin'), ('gpio_flags_t', 'flags')]"
161,gpio_pin_get_config,"[('const struct device *', 'port'), ('gpio_pin_t', 'pin'), ('gpio_flags_t *', 'flags')]"
162,gpio_pin_interrupt_configure,"[('const struct device *', 'port'), ('gpio_pin_t', 'pin'), ('gpio_flags_t', 'flags')]"
163,gpio_port_clear_bits_raw,"[('const struct device *', 'port'), ('gpio_port_pins_t', 'pins')]"
164,gpio_port_get_direction,"[('const struct device *', 'port'), ('gpio_port_pins_t', 'map'), ('gpio_port_pins_t *', 'inputs'), ('gpio_port_pins_t *', 'outputs')]"
165,gpio_port_get_raw,"[('const struct device *', 'port'), ('gpio_port_value_t *', 'value')]"
166,gpio_port_set_bits_raw,"[('const struct device *', 'port'), ('gpio_port_pins_t', 'pins')]"
167,gpio_port_set_masked_raw,"[('const struct device *', 'port'), ('gpio_port_pins_t', 'mask'), ('gpio_port_value_t', 'value')]"
168,gpio_port_toggle_bits,"[('const struct device *', 'port'), ('gpio_port_pins_t', 'pins')]"
169,hwinfo_clear_reset_cause,[]
170,hwinfo_get_device_id,"[('uint8_t *', 'buffer'), ('size_t', 'length')]"
171,hwinfo_get_reset_cause,"[('uint32_t *', 'cause')]"
172,hwinfo_get_supported_reset_cause,"[('uint32_t *', 'supported')]"
173,hwspinlock_get_max_id,"[('const struct device *', 'dev')]"
174,hwspinlock_lock,"[('const struct device *', 'dev'), ('uint32_t', 'id')]"
175,hwspinlock_trylock,"[('const struct device *', 'dev'), ('uint32_t', 'id')]"
176,hwspinlock_unlock,"[('const struct device *', 'dev'), ('uint32_t', 'id')]"
177,i2c_configure,"[('const struct device *', 'dev'), ('uint32_t', 'dev_config')]"
178,i2c_get_config,"[('const struct device *', 'dev'), ('uint32_t *', 'dev_config')]"
179,i2c_recover_bus,"[('const struct device *', 'dev')]"
180,i2c_target_driver_register,"[('const struct device *', 'dev')]"
181,i2c_target_driver_unregister,"[('const struct device *', 'dev')]"
182,i2c_transfer,"[('const struct device *', 'dev'), ('struct i2c_msg *', 'msgs'), ('uint8_t', 'num_msgs'), ('uint16_t', 'addr')]"
183,i2s_buf_read,"[('const struct device *', 'dev'), ('void *', 'buf'), ('size_t *', 'size')]"
184,i2s_buf_write,"[('const struct device *', 'dev'), ('void *', 'buf'), ('size_t', 'size')]"
185,i2s_configure,"[('const struct device *', 'dev'), ('enum i2s_dir', 'dir'), ('const struct i2s_config *', 'cfg')]"
186,i2s_trigger,"[('const struct device *', 'dev'), ('enum i2s_dir', 'dir'), ('enum i2s_trigger_cmd', 'cmd')]"
187,i3c_do_ccc,"[('const struct device *', 'dev'), ('struct i3c_ccc_payload *', 'payload')]"
188,i3c_transfer,"[('struct i3c_device_desc *', 'target'), ('struct i3c_msg *', 'msgs'), ('uint8_t', 'num_msgs')]"
189,ipm_complete,"[('const struct device *', 'ipmdev')]"
190,ipm_max_data_size_get,"[('const struct device *', 'ipmdev')]"
191,ipm_max_id_val_get,"[('const struct device *', 'ipmdev')]"
192,ipm_send,"[('const struct device *', 'ipmdev'), ('int', 'wait'), ('uint32_t', 'id'), ('const void *', 'data'), ('int', 'size')]"
193,ipm_set_enabled,"[('const struct device *', 'ipmdev'), ('int', 'enable')]"
194,ivshmem_enable_interrupts,"[('const struct device *', 'dev'), ('bool', 'enable')]"
195,ivshmem_get_id,"[('const struct device *', 'dev')]"
196,ivshmem_get_max_peers,"[('const struct device *', 'dev')]"
197,ivshmem_get_mem,"[('const struct device *', 'dev'), ('uintptr_t *', 'memmap')]"
198,ivshmem_get_output_mem_section,"[('const struct device *', 'dev'), ('uint32_t', 'peer_id'), ('uintptr_t *', 'memmap')]"
199,ivshmem_get_protocol,"[('const struct device *', 'dev')]"
200,ivshmem_get_rw_mem_section,"[('const struct device *', 'dev'), ('uintptr_t *', 'memmap')]"
201,ivshmem_get_state,"[('const struct device *', 'dev'), ('uint32_t', 'peer_id')]"
202,ivshmem_get_vectors,"[('const struct device *', 'dev')]"
203,ivshmem_int_peer,"[('const struct device *', 'dev'), ('uint32_t', 'peer_id'), ('uint16_t', 'vector')]"
204,ivshmem_register_handler,"[('const struct device *', 'dev'), ('struct k_poll_signal *', 'signal'), ('uint16_t', 'vector')]"
205,ivshmem_set_state,"[('const struct device *', 'dev'), ('uint32_t', 'state')]"
206,k_busy_wait,"[('uint32_t', 'usec_to_wait')]"
207,k_condvar_broadcast,"[('struct k_condvar *', 'condvar')]"
208,k_condvar_init,"[('struct k_condvar *', 'condvar')]"
209,k_condvar_signal,"[('struct k_condvar *', 'condvar')]"
210,k_condvar_wait,"[('struct k_condvar *', 'condvar'), ('struct k_mutex *', 'mutex'), ('k_timeout_t', 'timeout')]"
211,k_event_clear,"[('struct k_event *', 'event'), ('uint32_t', 'events')]"
212,k_event_init,"[('struct k_event *', 'event')]"
213,k_event_post,"[('struct k_event *', 'event'), ('uint32_t', 'events')]"
214,k_event_set,"[('struct k_event *', 'event'), ('uint32_t', 'events')]"
215,k_event_set_masked,"[('struct k_event *', 'event'), ('uint32_t', 'events'), ('uint32_t', 'events_mask')]"
216,k_event_wait,"[('struct k_event *', 'event'), ('uint32_t', 'events'), ('bool', 'reset'), ('k_timeout_t', 'timeout')]"
217,k_event_wait_all,"[('struct k_event *', 'event'), ('uint32_t', 'events'), ('bool', 'reset'), ('k_timeout_t', 'timeout')]"
218,k_float_disable,"[('struct k_thread *', 'thread')]"
219,k_float_enable,"[('struct k_thread *', 'thread'), ('unsigned int', 'options')]"
220,k_futex_wait,"[('struct k_futex *', 'futex'), ('int', 'expected'), ('k_timeout_t', 'timeout')]"
221,k_futex_wake,"[('struct k_futex *', 'futex'), ('bool', 'wake_all')]"
222,k_is_preempt_thread,[]
223,k_mem_paging_histogram_backing_store_page_in_get,"[('struct k_mem_paging_histogram_t *', 'hist')]"
224,k_mem_paging_histogram_backing_store_page_out_get,"[('struct k_mem_paging_histogram_t *', 'hist')]"
225,k_mem_paging_histogram_eviction_get,"[('struct k_mem_paging_histogram_t *', 'hist')]"
226,k_mem_paging_stats_get,"[('struct k_mem_paging_stats_t *', 'stats')]"
227,k_mem_paging_thread_stats_get,"[('struct k_thread *', 'thread'), ('struct k_mem_paging_stats_t *', 'stats')]"
228,k_msgq_alloc_init,"[('struct k_msgq *', 'msgq'), ('size_t', 'msg_size'), ('uint32_t', 'max_msgs')]"
229,k_msgq_get,"[('struct k_msgq *', 'msgq'), ('void *', 'data'), ('k_timeout_t', 'timeout')]"
230,k_msgq_get_attrs,"[('struct k_msgq *', 'msgq'), ('struct k_msgq_attrs *', 'attrs')]"
231,k_msgq_num_free_get,"[('struct k_msgq *', 'msgq')]"
232,k_msgq_num_used_get,"[('struct k_msgq *', 'msgq')]"
233,k_msgq_peek,"[('struct k_msgq *', 'msgq'), ('void *', 'data')]"
234,k_msgq_peek_at,"[('struct k_msgq *', 'msgq'), ('void *', 'data'), ('uint32_t', 'idx')]"
235,k_msgq_purge,"[('struct k_msgq *', 'msgq')]"
236,k_msgq_put,"[('struct k_msgq *', 'msgq'), ('const void *', 'data'), ('k_timeout_t', 'timeout')]"
237,k_mutex_init,"[('struct k_mutex *', 'mutex')]"
238,k_mutex_lock,"[('struct k_mutex *', 'mutex'), ('k_timeout_t', 'timeout')]"
239,k_mutex_unlock,"[('struct k_mutex *', 'mutex')]"
240,k_object_access_grant,"[('const void *', 'object'), ('struct k_thread *', 'thread')]"
241,k_object_alloc,"[('enum k_objects', 'otype')]"
242,k_object_alloc_size,"[('enum k_objects', 'otype'), ('size_t', 'size')]"
243,k_object_release,"[('const void *', 'object')]"
244,k_pipe_alloc_init,"[('struct k_pipe *', 'pipe'), ('size_t', 'size')]"
245,k_pipe_buffer_flush,"[('struct k_pipe *', 'pipe')]"
246,k_pipe_flush,"[('struct k_pipe *', 'pipe')]"
247,k_pipe_get,"[('struct k_pipe *', 'pipe'), ('void *', 'data'), ('size_t', 'bytes_to_read'), ('size_t *', 'bytes_read'), ('size_t', 'min_xfer'), ('k_timeout_t', 'timeout')]"
248,k_pipe_put,"[('struct k_pipe *', 'pipe'), ('const void *', 'data'), ('size_t', 'bytes_to_write'), ('size_t *', 'bytes_written'), ('size_t', 'min_xfer'), ('k_timeout_t', 'timeout')]"
249,k_pipe_read_avail,"[('struct k_pipe *', 'pipe')]"
250,k_pipe_write_avail,"[('struct k_pipe *', 'pipe')]"
251,k_poll,"[('struct k_poll_event *', 'events'), ('int', 'num_events'), ('k_timeout_t', 'timeout')]"
252,k_poll_signal_check,"[('struct k_poll_signal *', 'sig'), ('unsigned int *', 'signaled'), ('int *', 'result')]"
253,k_poll_signal_init,"[('struct k_poll_signal *', 'sig')]"
254,k_poll_signal_raise,"[('struct k_poll_signal *', 'sig'), ('int', 'result')]"
255,k_poll_signal_reset,"[('struct k_poll_signal *', 'sig')]"
256,k_queue_alloc_append,"[('struct k_queue *', 'queue'), ('void *', 'data')]"
257,k_queue_alloc_prepend,"[('struct k_queue *', 'queue'), ('void *', 'data')]"
258,k_queue_cancel_wait,"[('struct k_queue *', 'queue')]"
259,k_queue_get,"[('struct k_queue *', 'queue'), ('k_timeout_t', 'timeout')]"
260,k_queue_init,"[('struct k_queue *', 'queue')]"
261,k_queue_is_empty,"[('struct k_queue *', 'queue')]"
262,k_queue_peek_head,"[('struct k_queue *', 'queue')]"
263,k_queue_peek_tail,"[('struct k_queue *', 'queue')]"
264,k_sched_current_thread_query,[]
265,k_sem_count_get,"[('struct k_sem *', 'sem')]"
266,k_sem_give,"[('struct k_sem *', 'sem')]"
267,k_sem_init,"[('struct k_sem *', 'sem'), ('unsigned int', 'initial_count'), ('unsigned int', 'limit')]"
268,k_sem_reset,"[('struct k_sem *', 'sem')]"
269,k_sem_take,"[('struct k_sem *', 'sem'), ('k_timeout_t', 'timeout')]"
270,k_sleep,"[('k_timeout_t', 'timeout')]"
271,k_stack_alloc_init,"[('struct k_stack *', 'stack'), ('uint32_t', 'num_entries')]"
272,k_stack_pop,"[('struct k_stack *', 'stack'), ('stack_data_t *', 'data'), ('k_timeout_t', 'timeout')]"
273,k_stack_push,"[('struct k_stack *', 'stack'), ('stack_data_t', 'data')]"
274,k_str_out,"[('char *', 'c'), ('size_t', 'n')]"
275,k_thread_abort,"[('k_tid_t', 'thread')]"
276,k_thread_create,"[('struct k_thread *', 'new_thread'), ('k_thread_stack_t *', 'stack'), ('size_t', 'stack_size'), ('k_thread_entry_t', 'entry'), ('void *', 'p1'), ('void *', 'p2'), ('void *', 'p3'), ('int', 'prio'), ('uint32_t', 'options'), ('k_timeout_t', 'delay')]"
277,k_thread_custom_data_get,[]
278,k_thread_custom_data_set,"[('void *', 'value')]"
279,k_thread_deadline_set,"[('k_tid_t', 'thread'), ('int', 'deadline')]"
280,k_thread_join,"[('struct k_thread *', 'thread'), ('k_timeout_t', 'timeout')]"
281,k_thread_name_copy,"[('k_tid_t', 'thread'), ('char *', 'buf'), ('size_t', 'size')]"
282,k_thread_name_set,"[('k_tid_t', 'thread'), ('const char *', 'str')]"
283,k_thread_priority_get,"[('k_tid_t', 'thread')]"
284,k_thread_priority_set,"[('k_tid_t', 'thread'), ('int', 'prio')]"
285,k_thread_resume,"[('k_tid_t', 'thread')]"
286,k_thread_stack_alloc,"[('size_t', 'size'), ('int', 'flags')]"
287,k_thread_stack_free,"[('k_thread_stack_t *', 'stack')]"
288,k_thread_stack_space_get,"[('const struct k_thread *', 'thread'), ('size_t *', 'unused_ptr')]"
289,k_thread_start,"[('k_tid_t', 'thread')]"
290,k_thread_suspend,"[('k_tid_t', 'thread')]"
291,k_thread_timeout_expires_ticks,"[('const struct k_thread *', 't')]"
292,k_thread_timeout_remaining_ticks,"[('const struct k_thread *', 't')]"
293,k_timer_expires_ticks,"[('const struct k_timer *', 'timer')]"
294,k_timer_remaining_ticks,"[('const struct k_timer *', 'timer')]"
295,k_timer_start,"[('struct k_timer *', 'timer'), ('k_timeout_t', 'duration'), ('k_timeout_t', 'period')]"
296,k_timer_status_get,"[('struct k_timer *', 'timer')]"
297,k_timer_status_sync,"[('struct k_timer *', 'timer')]"
298,k_timer_stop,"[('struct k_timer *', 'timer')]"
299,k_timer_user_data_get,"[('const struct k_timer *', 'timer')]"
300,k_timer_user_data_set,"[('struct k_timer *', 'timer'), ('void *', 'user_data')]"
301,k_uptime_ticks,[]
302,k_usleep,"[('int32_t', 'us')]"
303,k_wakeup,"[('k_tid_t', 'thread')]"
304,k_yield,[]
305,kscan_config,"[('const struct device *', 'dev'), ('kscan_callback_t', 'callback')]"
306,kscan_disable_callback,"[('const struct device *', 'dev')]"
307,kscan_enable_callback,"[('const struct device *', 'dev')]"
308,led_blink,"[('const struct device *', 'dev'), ('uint32_t', 'led'), ('uint32_t', 'delay_on'), ('uint32_t', 'delay_off')]"
