Syscall,x86_64,arm,aarch64,x32
pwrite64,18,181,68,181
pwritev,296,362,70,334
pwritev2,328,393,287,379
query_module,178,-,-,167
quotactl,179,131,60,131
read,0,3,63,3
readahead,187,225,213,225
readdir,-,-,-,89
readlink,89,85,-,85
readlinkat,267,332,78,305
readv,19,145,65,145
reboot,169,88,142,88
recv,-,291,-,-
recvfrom,45,292,207,371
recvmmsg,299,365,243,337
recvmsg,47,297,212,372
remap_file_pages,216,253,234,257
removexattr,197,235,14,235
rename,82,38,-,38
renameat,264,329,38,302
renameat2,316,382,276,353
request_key,249,310,218,287
restart_syscall,219,0,128,0
rmdir,84,40,-,40
rt_sigaction,13,174,134,174
rt_sigpending,127,176,136,176
rt_sigprocmask,14,175,135,175
rt_sigqueueinfo,129,178,138,178
rt_sigreturn,15,173,139,173
rt_sigsuspend,130,179,133,179
rt_sigtimedwait,128,177,137,177
rt_tgsigqueueinfo,297,363,240,335
sched_get_priority_max,146,159,125,159
sched_get_priority_min,147,160,126,160
sched_getaffinity,204,242,123,242
sched_getattr,315,381,275,352
sched_getparam,143,155,121,155
sched_getscheduler,145,157,120,157
sched_rr_get_interval,148,161,127,161
sched_setaffinity,203,241,122,241
sched_setattr,314,380,274,351
sched_setparam,142,154,118,154
sched_setscheduler,144,156,119,156
sched_yield,24,158,124,158
seccomp,317,383,277,354
security,185,-,-,-
select,23,-,-,82
semctl,66,300,191,-
semget,64,299,190,-
semop,65,298,193,-
semtimedop,220,312,192,-
send,-,289,-,-
sendfile,40,187,71,187
sendfile64,-,239,-,239
sendmmsg,307,374,269,345
sendmsg,46,296,211,370
sendto,44,290,206,369
set_mempolicy,238,321,237,276
set_robust_list,273,338,99,311
set_thread_area,205,-,-,243
set_tid_address,218,256,96,258
setdomainname,171,121,162,121
setfsgid,123,139,152,139
setfsgid32,-,216,-,216
setfsuid,122,138,151,138
setfsuid32,-,215,-,215
setgid,106,46,144,46
setgid32,-,214,-,214
setgroups,116,81,159,81
setgroups32,-,206,-,206
sethostname,170,74,161,74
setitimer,38,104,103,104
setns,308,375,268,346
setpgid,109,57,154,57
setpriority,141,97,140,97
setregid,114,71,143,71
setregid32,-,204,-,204
setresgid,119,170,149,170
setresgid32,-,210,-,210
setresuid,117,164,147,164
setresuid32,-,208,-,208
setreuid,113,70,145,70
setreuid32,-,203,-,203
setrlimit,160,75,164,75
setsid,112,66,157,66
setsockopt,54,294,208,366
settimeofday,164,79,170,79
setuid,105,23,146,23
setuid32,-,213,-,213
setxattr,188,226,5,226
sgetmask,-,-,-,68
shmat,30,305,196,-
shmctl,31,308,195,-
shmdt,67,306,197,-
shmget,29,307,194,-
shutdown,48,293,210,373
sigaction,-,67,-,67
sigaltstack,131,186,132,186
signal,-,-,-,48
signalfd,282,349,-,321
signalfd4,289,355,74,327
sigpending,-,73,-,73
sigprocmask,-,126,-,126
sigreturn,-,119,-,119
sigsuspend,-,72,-,72
socket,41,281,198,359
socketcall,-,-,-,102
socketpair,53,288,199,360
splice,275,340,76,313
ssetmask,-,-,-,69
stat,4,106,-,106
stat64,-,195,-,195
statfs,137,99,43,99
statfs64,-,266,-,268
statx,332,397,291,383
stime,-,-,-,25
stty,-,-,-,31
swapoff,168,115,225,115
swapon,167,87,224,87
symlink,88,83,-,83
symlinkat,266,331,36,304
sync,162,36,81,36
sync_file_range,277,-,84,314
sync_file_range2,-,341,-,-
syncfs,306,373,267,344
sysfs,139,135,-,135
sysinfo,99,116,179,116
syslog,103,103,116,103
tee,276,342,77,315
tgkill,234,268,131,270
time,201,-,-,13
timer_create,222,257,107,259
timer_delete,226,261,111,263
timer_getoverrun,225,260,109,262
timer_gettime,224,259,108,261
timer_settime,223,258,110,260
timerfd_create,283,350,85,322
timerfd_gettime,287,354,87,326
timerfd_settime,286,353,86,325
times,100,43,153,43
tkill,200,238,130,238
truncate,76,92,45,92
truncate64,-,193,-,193
tuxcall,184,-,-,-
ugetrlimit,-,191,-,191
ulimit,-,-,-,58
umask,95,60,166,60
umount,-,-,-,22
umount2,166,52,39,52
uname,63,122,160,122
unlink,87,10,-,10
unlinkat,263,328,35,301
unshare,272,337,97,310
uselib,134,86,-,86
userfaultfd,323,388,282,374
ustat,136,62,-,62
utime,132,-,-,30
utimensat,280,348,88,320
utimes,235,269,-,271
vfork,58,190,-,190
vhangup,153,111,58,111
vm86,-,-,-,166
vm86old,-,-,-,113
vmsplice,278,343,75,316
vserver,236,313,-,273
wait4,61,114,260,114
waitid,247,280,95,284
waitpid,-,-,-,7
write,1,4,64,4
writev,20,146,66,146
